name,parent_name,level,coefficient_a,coefficient_b,divergence_angle
"Person-Powered Craft - Stand-Up-Paddleboard w/1 POB",Person-Powered Craft,2,0.0275,0,20
"Person-Powered Craft - Empty Stand-Up-Paddleboard",Person-Powered Craft,2,0.049,0,11
"Personal Water Craft 2-person sit on top",,1,0.042,0,9
Power Driven Vessels,,1,0,0,0
"Skiff - modified-v, cathedral-hull, runabout outboard powerboat",Power Driven Vessels,2,0.034,0.04,22
"Skiff - V-hull forward, round bottom aft (wooden Newfoundland)",Power Driven Vessels,2,0.03,0.08,15
Swamped/Capsized Boat,Power Driven Vessels,2,0.017,0,15
"Sport Boats - Cuddy Cabin",Power Driven Vessels,2,0.069,-0.08,19
"Sport Boats - Center Console",Power Driven Vessels,2,0.06,-0.09,22
Panga,Power Driven Vessels,2,0,0,0
"Panga 1-POB loading",Panga,3,0.06,0,15
"Panga 2-POB loading",Panga,3,0.057,0,14
"Panga 3-POB loading",Panga,3,0.054,0,13
"Panga 4-POB loading",Panga,3,0.051,0,13
"Panga 5-POB loading",Panga,3,0.048,0,12
"Panga 6-POB loading",Panga,3,0.045,0,12
"Panga 7-POB loading",Panga,3,0.042,0,11
"Panga 8-POB loading",Panga,3,0.039,0,11
"Panga 9-POB loading",Panga,3,0.036,0,10
"Panga 10-POB loading",Panga,3,0.033,0,9
"Panga 11-POB loading",Panga,3,0.03,0,9
"Panga 12-POB loading",Panga,3,0.027,0,8
Sailing vessels,,1,0,0,0
"Sailboat Mono-hull (Dismasted, Average)",Sailing vessels,2,0.042,0,27
"Sailboat Mono-hull (Dismasted - rudder amidships)",Sailing vessels,2,0.075,0,33
"Sailboat Mono-hull (Dismasted - rudder missing)",Sailing vessels,2,0.026,0,18
"Sailboat Mono-hull (Bare-masted, Average)",Sailing vessels,2,0.084,0,49
"Sailboat Mono-hull (Bare-masted, rudder amidships)",Sailing vessels,2,0.103,0,48
"Sailboat Mono-hull (Bare-masted, rudder hove-to)",Sailing vessels,2,0.048,0,52
"Sunfish sailing dingy  (Bare-masted, rudder missing)",Sailing vessels,2,0.023,0,13
"Skiff - v-hull bow to stern (aluminum, Norway)",Sailing vessels,2,0.04,0,10
"Mono hull sailing vessel with full keel and deep draft.",Sailing vessels,2,0.03,0,48
"Fin keeled sailing vessel with shallow draft.",Sailing vessels,2,0.04,0,48
Commercial Fishing Vessels,,1,0,0,0
"Commercial Fishing Vessels (Average)",Commercial Fishing Vessels,2,0.037,0.02,48
Sampans,Commercial Fishing Vessels,2,0.04,0,48
Side-Stern Trawler,Commercial Fishing Vessels,2,0.042,0,48
Long liner,Commercial Fishing Vessels,2,0.037,0,48
Coastal Fishing Vessel,Commercial Fishing Vessels,2,0.027,0.1,48
Gill-Netter w/rear reel,Commercial Fishing Vessels,2,0.04,0.01,33
Coastal Freighter,Commercial Fishing Vessels,2,0.028,0,48
Immigration vessels,,1,0,0,0
"Immigration Vessel - Refugee raft w/o sail",Immigration vessels,2,0.015,0.17,17
"Immigration Vessel - Refugee raft w/ sail",Immigration vessels,2,0.079,-0.17,33
Other Targets,,1,0,0,0
Boating Debris,Other Targets,2,0,0,0
"Boating Debris - F/V debris",Boating Debris,3,0.02,0,10
"Bait/wharf Box holds 1 cubic meter of ice (Average)",Boating Debris,3,0.013,0.27,31
"Bait/wharf Box - Lightly loaded",Boating Debris,3,0.026,0.18,15
"Bait/wharf Box - Heavily loaded",Boating Debris,3,0.016,0.16,33
Sewage/Medical Waste,Other Targets,2,0,0,0
Sewage Floatables,Sewage/Medical Waste,3,0.018,0,5
MEDICAL WASTE (Average),Sewage/Medical Waste,3,0.028,0,10
Vials (Average),Sewage/Medical Waste,3,0.037,0,10
Vials - Large,Sewage/Medical Waste,3,0.044,0,10
Vials - Small,Sewage/Medical Waste,3,0.03,0,10
Syringes (Average),Sewage/Medical Waste,3,0.018,0,5
Syringes - Large,Sewage/Medical Waste,3,0.018,0,5
Syringes - Small,Sewage/Medical Waste,3,0.018,0,5
Bale of Cocaine,Other Targets,2,0.018,0,39
55-gallon Oil Drum,Other Targets,2,0.014,0,39
20-ft Shipping Container (80% submerged),Other Targets,2,0.0183,0,11
40-ft Shipping Container (70% submerged),Other Targets,2,0.02,0,1
WWII L-MK2 mine,Other Targets,2,0.018,0,19
Navy Submarine EPIRB (SEPIRB),Other Targets,2,0.006,0,72
